Placement,Model
PKB5QM_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-5_Prospecting_FAST_Set 1_2017_728 x 90_Desktop_RON,CX-3 & CX-5
PKB622_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-6_Prospecting_FAST_Set 1_2017_120 x 600_Desktop_RON,CX-3 & CX-5
PKB623_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda MX-5_Prospecting_FAST_Set 1_2017_120 x 600_Desktop_RON,MX-5
PKB62B_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-6_Prospecting_FAST_Set 1_2017_160 x 600_Desktop_RON,CX-3 & CX-5
PKB62C_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda MX-5_Prospecting_FAST_Set 1_2017_160 x 600_Desktop_RON,MX-5
PKB62G_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-6_Prospecting_FAST_Set 1_2017_300 x 250_Desktop_RON,CX-3 & CX-5
PKB62J_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda MX-5_Prospecting_FAST_Set 1_2017_300 x 250_Desktop_RON,MX-5
PKB62T_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-6_Prospecting_FAST_Set 1_2017_468 x 60_Desktop_RON,CX-3 & CX-5
PKB62V_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda MX-5_Prospecting_FAST_Set 1_2017_468 x 60_Desktop_RON,MX-5
PKB633_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-6_Prospecting_FAST_Set 1_2017_728 x 90_Desktop_RON,CX-3 & CX-5
PKB634_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda MX-5_Prospecting_FAST_Set 1_2017_728 x 90_Desktop_RON,MX-5
PKB69T_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda 2_Prospecting_FAST_Set 1_2017_300 x 250_Mobile_RON,Mazda 2
PKB69V_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda 3_Prospecting_FAST_Set 1_2017_300 x 250_Mobile_RON,Mazda 3
PKB69X_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-3_Prospecting_FAST_Set 1_2017_300 x 250_Mobile_RON,CX-3 & CX-5
PKB69Y_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-5_Prospecting_FAST_Set 1_2017_300 x 250_Mobile_RON,CX-3 & CX-5
PKB69Z_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-6_Prospecting_FAST_Set 1_2017_300 x 250_Mobile_RON,CX-3 & CX-5
PKB6B0_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda MX-5_Prospecting_FAST_Set 1_2017_300 x 250_Mobile_RON,MX-5
PKB6B1_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda 2_Prospecting_FAST_Set 1_2017_300 x 250_Mobile_RON,Mazda 2
PKB6B2_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda 3_Prospecting_FAST_Set 1_2017_300 x 250_Mobile_RON,Mazda 3
PKB6B4_XAXIS - CAPTIFY_Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-3_Prospecting_FAST_Set 1_2017_300 x 250_Mobile_RON,CX-3 & CX-5
