Placement,Model
AUTO TRADER DIGITAL_InSearch_1x1_Jun_2Weeks_Mazda2_Bespoke_Desktop_Desktop_Site Specific - AUTO TRADER DIGITAL_InSearch_1x1_Jun_2Weeks_Mazda2_Bespoke_Desktop_Desktop_Site Specific_Non-Standard - Click Tracker,Mazda 2
Motoring- Mazda CX3 Keywords- MPU_1 - motoring_cx3_keywords_300x250_suv_MPU,CX-3 & CX-5
Motoring- Mazda CX5 Keywords- MPU - motoring_cx5_keywords_300x250_suv_MPU,CX-3 & CX-5
Honest John- All Other Models- MPU - honestjohn_othermodels_300x250_anm2_MPU,Mazda 2
Auto Trader - In-Search Bespoke Native Mobile UPWEIGHT INMARKET MX5 - AUTO TRADER DIGITAL_In-Search_Bespoke Native_Mobile_AudienceMX5 - Click Tracker,MX-5
Auto Car - CX-5 Keywords - Auto Car_CX-5 Keywords_300x250_Cross Platform_Desktop_Audience-CX-3CX-5,CX-3 & CX-5
Auto Car - Mazda 2 Keywords - Auto Car_Mazda 2 Keywords_300x250_Cross Platform_Desktop_Audience-ANM2,Mazda 2
Car Buyer - Mazda 2 Keywords - CarBuyer_CX-3 Keywords_300x250_Cross Platform_Desktop_Audience-CX-3CX-5,CX-3 & CX-5
Car Buyer - Mazda 2 Keywords - CarBuyer_MX-5 Keywords_300x250_Cross Platform_Desktop_Audience-MX-5,MX-5
Car Buyer - Mazda 2 Keywords - CarBuyer_Mazda 2 Keywords_300x250_Cross Platform_Desktop_Audience-ANM2,Mazda 2
Car Buyer - Mazda 2 Keywords - CarBuyer_Mazda 3 Keywords_300x250_Cross Platform_Desktop_Audience-Mazda3,Mazda 3
Car Buyer - Mazda 2 Keywords - CarBuyer_Mazda 6 Keywords_300x250_Cross Platform_Desktop_Audience-Mazda6,Mazda 6
Motoringcouk - Mazda Keyword Tenancy - Motoringcouk_Mazda Keyword Tenancy - Mazda 2_300x250_Cross Platform_Desktop_Audience-ANM2,Mazda 2
Parkers - Mazda 2 Keywords - Parkers_Mazda 2 Keywords_300x250_Cross Platform_Desktop_Audience-ANM2,Mazda 2
Parkers - Mazda 6 Keywords - Parkers_Mazda 6 Keywords_300x250_Cross Platform_Desktop_Audience-Mazda6,Mazda 6
Mazda UK_Tactical_RadiumOne_Geo Fencing_Retargeting Mazda Qualified OOH User Pool _Mazda MX-5 RF_All Devices_Retargeting_FAST_Set 1_2017_Mazda_MX-5_RF_2017_320x50,MX-5
Mazda UK_Tactical_RadiumOne_Geo Fencing_Retargeting Mazda Qualified OOH User Pool _Mazda MX-5 RF_All Devices_Retargeting_FAST_Set 2_2017_Mazda_MX-5_RF_2017_320x50,MX-5
Mazda UK_Tactical_RadiumOne_Geo Fencing_Retargeting Mazda Qualified OOH User Pool _Mazda MX-5 RF_All Devices_Retargeting_FAST_Set 3_2017_Mazda_MX-5_RF_2017_320x50,MX-5
Mazda UK_Tactical_RadiumOne_Geo Fencing_Retargeting Mazda Qualified OOH User Pool _Mazda MX-5 RF_All Devices_Retargeting_FAST_Set 4_2017_Mazda_MX-5_RF_2017_300x250,MX-5
What Car - CX-5 Keywords Mobile Banner - WHAT CAR_CX-5 Keywords_Mobile Floating Banner_320x50_Mobile__Site SpecificCX3CX5,CX-3 & CX-5
What Car - MX-5 Keywords - WhatCar_MX-5 Keywords_300x250_Cross Platform_Desktop_Audience-MX-5,MX-5
What Car - Mazda 3 Keywords - WhatCar_Mazda 3 Keywords_300x250_Cross Platform_Desktop_Audience-Mazda3,Mazda 3
What Car - Mazda 3 Keywords Mobile - WHAT CAR_Mazda 3 Keywords_Mobile Floating Banner_320x50_Mobile__Site SpecificMazda3_Mobile XXL,Mazda 3
Mazda UK_In Market_Xaxis_Quantcast_Site Level Retargeting_Mazda 2_Desktop_Retargeting_FAST_160x600_Set 1_2017,Mazda 2
Mazda UK_In Market_Xaxis_Quantcast_Site Level Retargeting_Mazda 2_Desktop_Retargeting_FAST_300x250_Set 1_2017,Mazda 2
Mazda UK_In Market_Xaxis_Quantcast_Site Level Retargeting_Mazda 2_Desktop_Retargeting_FAST_728x90_Set 1_2017,Mazda 2
Mazda UK_In Market_Xaxis_Quantcast_Site Level Retargeting_Mazda 3_Desktop_Retargeting_FAST_160x600_Set 1_2017,Mazda 3
Mazda UK_In Market_Xaxis_Quantcast_Site Level Retargeting_Mazda 3_Desktop_Retargeting_FAST_300x250_Set 1_2017,Mazda 3
Mazda UK_In Market_Xaxis_Quantcast_Site Level Retargeting_Mazda 3_Desktop_Retargeting_FAST_728x90_Set 1_2017,Mazda 3
Mazda UK_In Market_Xaxis_Quantcast_Site Level Retargeting_Mazda CX-3  CX-5 Dual Message_Desktop_Retargeting_FAST_160x600_Set 1_2017,CX-3 & CX-5
Mazda UK_In Market_Xaxis_Quantcast_Site Level Retargeting_Mazda CX-3  CX-5 Dual Message_Desktop_Retargeting_FAST_300x250_Set 1_2017,CX-3 & CX-5
Mazda UK_In Market_Xaxis_Quantcast_Site Level Retargeting_Mazda CX-3  CX-5 Dual Message_Desktop_Retargeting_FAST_728x90_Set 1_2017,CX-3 & CX-5
Mazda UK_In Market_Xaxis_Quantcast_Site Level Retargeting_Mazda CX-3_Desktop_Retargeting_FAST_160x600_Set 1_2017,CX-3 & CX-5
Mazda UK_In Market_Xaxis_Quantcast_Site Level Retargeting_Mazda CX-3_Desktop_Retargeting_FAST_300x250_Set 1_2017,CX-3 & CX-5
Mazda UK_In Market_Xaxis_Quantcast_Site Level Retargeting_Mazda CX-3_Desktop_Retargeting_FAST_728x90_Set 1_2017,CX-3 & CX-5
Mazda UK_In Market_Xaxis_Quantcast_Site Level Retargeting_Mazda CX-5_Desktop_Retargeting_FAST_160x600_Set 1_2017,CX-3 & CX-5
Mazda UK_In Market_Xaxis_Quantcast_Site Level Retargeting_Mazda CX-5_Desktop_Retargeting_FAST_300x250_Set 1_2017,CX-3 & CX-5
Mazda UK_In Market_Xaxis_Quantcast_Site Level Retargeting_Mazda CX-5_Desktop_Retargeting_FAST_728x90_Set 1_2017,CX-3 & CX-5
Mazda UK_In Market_Xaxis_Quantcast_Site Level Retargeting_Mazda CX-6_Desktop_Retargeting_FAST_160x600_Set 1_2017,CX-3 & CX-5
Mazda UK_In Market_Xaxis_Quantcast_Site Level Retargeting_Mazda CX-6_Desktop_Retargeting_FAST_300x250_Set 1_2017,CX-3 & CX-5
Mazda UK_In Market_Xaxis_Quantcast_Site Level Retargeting_Mazda CX-6_Desktop_Retargeting_FAST_728x90_Set 1_2017,CX-3 & CX-5
Mazda UK_In Market_Xaxis_Quantcast_Site Level Retargeting_Mazda MX-5_Desktop_Retargeting_FAST_160x600_Set 1_2017,MX-5
Mazda UK_In Market_Xaxis_Quantcast_Site Level Retargeting_Mazda MX-5_Desktop_Retargeting_FAST_300x250_Set 1_2017,MX-5
Mazda UK_In Market_Xaxis_Quantcast_Site Level Retargeting_Mazda MX-5_Desktop_Retargeting_FAST_728x90_Set 1_2017,MX-5
Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda 2_Desktop_Prospecting_FAST_120x600_Set 2_2017,Mazda 2
Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda 2_Desktop_Prospecting_FAST_160x600_Set 2_2017,Mazda 2
Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda 2_Desktop_Prospecting_FAST_300x250_Set 2_2017,Mazda 2
Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda 2_Desktop_Prospecting_FAST_728x90_Set 2_2017,Mazda 2
Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda 2_Mobile / Tablet_Prospecting_FAST_300x250_Set 2_2017,Mazda 2
Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda 3_Desktop_Prospecting_FAST_120x600_Set 2_2017,Mazda 3
Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda 3_Desktop_Prospecting_FAST_160x600_Set 2_2017,Mazda 3
Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda 3_Desktop_Prospecting_FAST_300x250_Set 2_2017,Mazda 3
Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda 3_Desktop_Prospecting_FAST_468x60_Set 2_2017,Mazda 3
Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda 3_Desktop_Prospecting_FAST_728x90_Set 2_2017,Mazda 3
Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda 3_Mobile / Tablet_Prospecting_FAST_300x250_Set 2_2017,Mazda 3
Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-3 & CX-5 Dual Message_Desktop_Prospecting_FAST_120x600_Set 2_2017,CX-3 & CX-5
Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-3 & CX-5 Dual Message_Desktop_Prospecting_FAST_160x600_Set 2_2017,CX-3 & CX-5
Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-3 & CX-5 Dual Message_Desktop_Prospecting_FAST_300x250_Set 2_2017,CX-3 & CX-5
Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-3 & CX-5 Dual Message_Desktop_Prospecting_FAST_468x60_Set 2_2017,CX-3 & CX-5
Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-3 & CX-5 Dual Message_Desktop_Prospecting_FAST_728x90_Set 2_2017,CX-3 & CX-5
Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-3_Desktop_Prospecting_FAST_120x600_Set 2_2017,CX-3 & CX-5
Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-3_Desktop_Prospecting_FAST_160x600_Set 2_2017,CX-3 & CX-5
Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-3_Desktop_Prospecting_FAST_300x250_Set 2_2017,CX-3 & CX-5
Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-3_Desktop_Prospecting_FAST_468x60_Set 2_2017,CX-3 & CX-5
Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-3_Desktop_Prospecting_FAST_728x90_Set 2_2017,CX-3 & CX-5
Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-3_Mobile / Tablet_Prospecting_FAST_300x250_Set 2_2017,CX-3 & CX-5
Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-5_Desktop_Prospecting_FAST_120x600_Set 2_2017,CX-3 & CX-5
Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-5_Desktop_Prospecting_FAST_160x600_Set 2_2017,CX-3 & CX-5
Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-5_Desktop_Prospecting_FAST_300x250_Set 2_2017,CX-3 & CX-5
Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-5_Desktop_Prospecting_FAST_728x90_Set 2_2017,CX-3 & CX-5
Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-5_Mobile / Tablet_Prospecting_FAST_300x250_Set 2_2017,CX-3 & CX-5
Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-6_Desktop_Prospecting_FAST_120x600_Set 2_2017,CX-3 & CX-5
Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-6_Desktop_Prospecting_FAST_160x600_Set 2_2017,CX-3 & CX-5
Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-6_Desktop_Prospecting_FAST_300x250_Set 2_2017,CX-3 & CX-5
Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-6_Desktop_Prospecting_FAST_728x90_Set 2_2017,CX-3 & CX-5
Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-6_Mobile / Tablet_Prospecting_FAST_300x250_Set 2_2017,CX-3 & CX-5
Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda MX-5_Desktop_Prospecting_FAST_120x600_Set 2_2017,MX-5
Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda MX-5_Desktop_Prospecting_FAST_160x600_Set 2_2017,MX-5
Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda MX-5_Desktop_Prospecting_FAST_300x250_Set 2_2017,MX-5
Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda MX-5_Desktop_Prospecting_FAST_468x60_Set 2_2017,MX-5
Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda MX-5_Desktop_Prospecting_FAST_728x90_Set 2_2017,MX-5
Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda MX-5_Mobile / Tablet_Prospecting_FAST_300x250_Set 2_2017,MX-5
Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda 2_Desktop_Prospecting_FAST_120x600_Set 2_2017,Mazda 2
Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda 2_Desktop_Prospecting_FAST_160x600_Set 2_2017,Mazda 2
Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda 2_Desktop_Prospecting_FAST_300x250_Set 2_2017,Mazda 2
Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda 2_Desktop_Prospecting_FAST_468x60_Set 2_2017,Mazda 2
Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda 2_Desktop_Prospecting_FAST_728x90_Set 2_2017,Mazda 2
Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda 2_Mobile / Tablet_Prospecting_FAST_300x250_Set 2_2017,Mazda 2
Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda 3_Desktop_Prospecting_FAST_120x600_Set 2_2017,Mazda 3
Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda 3_Desktop_Prospecting_FAST_160x600_Set 2_2017,Mazda 3
Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda 3_Desktop_Prospecting_FAST_300x250_Set 2_2017,Mazda 3
Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda 3_Desktop_Prospecting_FAST_468x60_Set 2_2017,Mazda 3
Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda 3_Desktop_Prospecting_FAST_728x90_Set 2_2017,Mazda 3
Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda 3_Mobile / Tablet_Prospecting_FAST_300x250_Set 2_2017,Mazda 3
Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-3 & CX-5 Dual Message_Desktop_Prospecting_FAST_120x600_Set 2_2017,CX-3 & CX-5
Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-3 & CX-5 Dual Message_Desktop_Prospecting_FAST_160x600_Set 2_2017,CX-3 & CX-5
Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-3 & CX-5 Dual Message_Desktop_Prospecting_FAST_300x250_Set 2_2017,CX-3 & CX-5
Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-3 & CX-5 Dual Message_Desktop_Prospecting_FAST_468x60_Set 2_2017,CX-3 & CX-5
Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-3 & CX-5 Dual Message_Desktop_Prospecting_FAST_728x90_Set 2_2017,CX-3 & CX-5
Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-3_Desktop_Prospecting_FAST_120x600_Set 2_2017,CX-3 & CX-5
Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-3_Desktop_Prospecting_FAST_160x600_Set 2_2017,CX-3 & CX-5
Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-3_Desktop_Prospecting_FAST_300x250_Set 2_2017,CX-3 & CX-5
Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-3_Desktop_Prospecting_FAST_728x90_Set 2_2017,CX-3 & CX-5
Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-3_Mobile / Tablet_Prospecting_FAST_300x250_Set 2_2017,CX-3 & CX-5
Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-5_Desktop_Prospecting_FAST_120x600_Set 2_2017,CX-3 & CX-5
Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-5_Desktop_Prospecting_FAST_160x600_Set 2_2017,CX-3 & CX-5
Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-5_Desktop_Prospecting_FAST_300x250_Set 2_2017,CX-3 & CX-5
Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-5_Desktop_Prospecting_FAST_728x90_Set 2_2017,CX-3 & CX-5
Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-5_Mobile / Tablet_Prospecting_FAST_300x250_Set 2_2017,CX-3 & CX-5
Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-6_Desktop_Prospecting_FAST_120x600_Set 2_2017,CX-3 & CX-5
Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-6_Desktop_Prospecting_FAST_160x600_Set 2_2017,CX-3 & CX-5
Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-6_Desktop_Prospecting_FAST_300x250_Set 2_2017,CX-3 & CX-5
Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-6_Desktop_Prospecting_FAST_468x60_Set 2_2017,CX-3 & CX-5
Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-6_Desktop_Prospecting_FAST_728x90_Set 2_2017,CX-3 & CX-5
Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda CX-6_Mobile / Tablet_Prospecting_FAST_300x250_Set 2_2017,CX-3 & CX-5
Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda MX-5_Desktop_Prospecting_FAST_120x600_Set 2_2017,MX-5
Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda MX-5_Desktop_Prospecting_FAST_160x600_Set 2_2017,MX-5
Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda MX-5_Desktop_Prospecting_FAST_300x250_Set 2_2017,MX-5
Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda MX-5_Desktop_Prospecting_FAST_728x90_Set 2_2017,MX-5
Mazda UK_In Market_Xaxis_Captify_Mazda Model Keywords_Mazda MX-5_Mobile / Tablet_Prospecting_FAST_300x250_Set 2_2017,MX-5
Auto Express - All Other Models (AV) - Auto Express_All other Mazda models (AV)_300x250_Cross Platform_Desktop_Audience-ANM2,Generic
Auto Express - CX-3 Keywords - Auto Express_CX-3 Keywords_300x250_Cross Platform_Desktop_Audience-CX-3CX-5,CX-3 & CX-5
Auto Express - CX-5 Keywords - Auto Express_CX-5 Keywords_300x250_Cross Platform_Desktop_Audience-CX-3CX-5,CX-3 & CX-5
Auto Express - MX-5 Keywords - Auto Express_MX-5 Keywords_300x250_Cross Platform_Desktop_Audience-MX-5,MX-5
Auto Express - Mazda 2 Keywords - Auto Express_Mazda 2 Keywords_300x250_Cross Platform_Desktop_Audience-ANM2,Mazda 2
Auto Express - Mazda 3 Keywords - Auto Express_Mazda 3 Keywords_300x250_Cross Platform_Desktop_Audience-Mazda3,Mazda 3
Auto Express - Mazda 6 Keywords - Auto Express_Mazda 6 Keywords_300x250_Cross Platform_Desktop_Audience-Mazda6,Mazda 6
Honest John - Mazda 6 Keywords - Honest John_Mazda 6 Keywords_300x250_Cross Platform_Desktop_Audience-Mazda6,Mazda 6
Auto Car - MX-5 Keywords - Auto Car_MX-5 Keywords_300x250_Cross Platform_Desktop_Audience-MX-5,MX-5
Auto Car - MX-5 Keywords Mobile Banner - AUTOCAR_MX-5 Keywords_Mobile Floating Banner_320x50_Mobile__Site SpecificMX5_Mobile XXL,MX-5
Auto Car - Mazda 3 Keywords - Auto Car_Mazda 3 Keywords_300x250_Cross Platform_Desktop_Audience-Mazda3,Mazda 3
Auto Car - Mazda 6 Keywords - Auto Car_Mazda 6 Keywords_300x250_Cross Platform_Desktop_Audience-Mazda6,Mazda 6
Parkers - CX-5 Keywords - Parkers_CX-5 Keywords_300x250_Cross Platform_Desktop_Audience-CX-3CX-5,CX-3 & CX-5
Parkers - MX-5 Keywords - Parkers_MX-5 Keywords_300x250_Cross Platform_Desktop_Audience-MX-5,MX-5
Mazda UK_Tactical_RadiumOne_Geo Fencing_Retargeting Mazda Qualified OOH User Pool _Mazda MX-5 RF_All Devices_Retargeting_FAST_Set 1_2017_Mazda_MX-5_RF_2017_300x250,MX-5
Mazda UK_Tactical_RadiumOne_Geo Fencing_Retargeting Mazda Qualified OOH User Pool _Mazda MX-5 RF_All Devices_Retargeting_FAST_Set 1_2017_Mazda_MX-5_RF_2017_728x90,MX-5
Mazda UK_Tactical_RadiumOne_Geo Fencing_Retargeting Mazda Qualified OOH User Pool _Mazda MX-5 RF_All Devices_Retargeting_FAST_Set 3_2017_Mazda_MX-5_RF_2017_728x90,MX-5
Mazda UK_Tactical_RadiumOne_Geo Fencing_Retargeting Mazda Qualified OOH User Pool _Mazda MX-5 RF_All Devices_Retargeting_FAST_Set 5_2017_Mazda_MX-5_RF_2017_300x250,MX-5
What Car - Mazda 2 Keywords - WhatCar_Mazda 2 Keywords_300x250_Cross Platform_Desktop_Audience-ANM2,Mazda 2
What Car - Mazda 6 Keywords - WhatCar_Mazda 6 Keywords_300x250_Cross Platform_Desktop_Audience-Mazda6,Mazda 6
Mazda UK_In Market_Xaxis_Captify_Mazda Brand Keywords_Mazda CX-5_Desktop_Prospecting_FAST_468x60_Set 2_2017,CX-3 & CX-5
Honest John - Mazda 2 Keywords - Honest John_Mazda 2 Keywords_300x250_Cross Platform_Desktop_Audience-ANM2,Mazda 2
Auto Car - Mazda 3 Keywords Mobile Banner - AUTOCAR_Mazda 3 Keywords_Mobile Floating Banner_320x50_Mobile__Site SpecificMazda3_Mobile XXL,Mazda 3
What Car - CX-5 Keywords - WhatCar_CX-5 Keywords_300x250_Cross Platform_Desktop_Audience-CX-3CX-5,CX-3 & CX-5
What Car - Mazda 2 Keywords Mobile Banner - WHAT CAR_Mazda 2 Keywords_Mobile Floating Banner_320x50_Mobile__Site SpecificMazda2,Mazda 2
Parkers - Mazda 3 Keywords - Parkers_Mazda 3 Keywords_300x250_Cross Platform_Desktop_Audience-Mazda3,Mazda 3
Auto Car - CX-5 Keywords Mobile Banner - AUTOCAR_CX-5 Keywords_Mobile Floating Banner_320x50_Mobile__Site SpecificCX3CX5,CX-3 & CX-5
Auto Car - Mazda 6 Keywords Mobile Banner - AUTOCAR_Mazda 6 Keywords_Mobile Floating Banner_320x50_Mobile__Site SpecificMazda6_Mobile XXL,Mazda 6
Car Buyer - Mazda 2 Keywords - CarBuyer_All other Mazda models_300x250_Cross Platform_Desktop_Audience-ANM2,Mazda 2
Mazda UK_Tactical_RadiumOne_Geo Fencing_Retargeting Mazda Qualified OOH User Pool _Mazda MX-5 RF_All Devices_Retargeting_FAST_Set 3_2017_Mazda_MX-5_RF_2017_300x250,MX-5
What Car - MX-5 Keywords Mobile Banner - WHAT CAR_MX-5 Keywords_Mobile Floating Banner_320x50_Mobile__Site SpecificMX5,MX-5
Motoringcouk - Mazda Keyword Tenancy - Motoringcouk_Mazda Keyword Tenancy - CX-3CX-5_300x250_Cross Platform_Desktop_Audience-MX-5,CX-3 & CX-5
Mazda UK_Tactical_RadiumOne_Geo Fencing_Retargeting Mazda Qualified OOH User Pool _Mazda MX-5 RF_All Devices_Retargeting_FAST_Set 2_2017_Mazda_MX-5_RF_2017_300x600,MX-5
Mazda UK_Tactical_RadiumOne_Geo Fencing_Retargeting Mazda Qualified OOH User Pool _Mazda MX-5 RF_All Devices_Retargeting_FAST_Set 5_2017_Mazda_MX-5_RF_2017_300x600,MX-5
Honest John - Mazda 3 Keywords - Honest John_Mazda 3 Keywords_300x250_Cross Platform_Desktop_Audience-Mazda3,Mazda 3
Mazda UK_Tactical_RadiumOne_Geo Fencing_Retargeting Mazda Qualified OOH User Pool _Mazda MX-5 RF_All Devices_Retargeting_FAST_Set 2_2017_Mazda_MX-5_RF_2017_300x250,MX-5
What Car - CX-3 Keywords - WhatCar_CX-3 Keywords_300x250_Cross Platform_Desktop_Audience-CX-3CX-5,CX-3 & CX-5
Mazda UK_Tactical_RadiumOne_Geo Fencing_Retargeting Mazda Qualified OOH User Pool _Mazda MX-5 RF_All Devices_Retargeting_FAST_Set 3_2017_Mazda_MX-5_RF_2017_300x600,MX-5
Mazda UK_Tactical_RadiumOne_Geo Fencing_Retargeting Mazda Qualified OOH User Pool _Mazda MX-5 RF_All Devices_Retargeting_FAST_Set 4_2017_Mazda_MX-5_RF_2017_300x600,MX-5
PKB0CC_AUTO TRADER DIGITAL_InSearch Mazda 2 Cross Device_1 x 1_Bespoke Native_Site Specific,Mazda 2
PKB0D2_AUTO TRADER DIGITAL_InSearch CX-3 Cross Device_1 x 1_Bespoke Native_Site Specific,CX-3 & CX-5
Motoringcouk - Mazda Keyword Tenancy - Motoringcouk_Mazda Keyword Tenancy - Mazda 6_300x250_Cross Platform_Desktop_Audience-Mazda6,Mazda 6
PKKMF2_MOTORING.CO.UK_Mazda2_Added Value_FY152P3InMarket_300 x 250_Cross Platform_Audience,Mazda 2
PKKMF4_MOTORING.CO.UK_Mazda3_Added Value_FY152P3InMarket_300 x 250_Cross Platform_Audience,Mazda 3
PKKMF5_MOTORING.CO.UK_Mazda6_Added Value_FY152P3InMarket_300 x 250_Cross Platform_Audience,Mazda 6
PKKMF6_MOTORING.CO.UK_MX5_Added Value_FY152P3InMarket_300 x 250_Cross Platform_Audience,MX-5
PKKMF7_MOTORING.CO.UK_SUV_Added Value_FY152P3InMarket_300 x 250_Cross Platform_Audience,CX-3 & CX-5
Auto Car - All Other Models - Auto Car_All other Mazda models_300x250_Cross Platform_Desktop_Audience-ANM2,Generic
PKGFM8_PARKERS_SUV_Added Value_FY152P3InMarket_300 x 250_Cross Platform_Audience,CX-3 & CX-5
Honest John - CX-5 Keywords - Honest John_CX-5 Keywords_300x250_Cross Platform_Desktop_Audience-CX-3CX-5,CX-3 & CX-5
DataXu Mazda MX5 default 300x250,MX-5
DataXu Mazda MX5 learnmore 300x250,MX-5
DataXu Mazda MX5 testdrive 300x250,MX-5
Car Buyer - Mazda 2 Keywords - CarBuyer_CX-5 Keywords_300x250_Cross Platform_Desktop_Audience-CX-3CX-5,Mazda 2
Motoringcouk - Mazda Keyword Tenancy - Motoringcouk_Mazda Keyword Tenancy - Mazda 3_300x250_Cross Platform_Desktop_Audience-Mazda3,Mazda 3
DataXu Mazda 3 configure 728x90,Mazda 3
DataXu Mazda 6 configure 300x250,Mazda 6
DataXu Mazda 6 default 300x250,Mazda 6
DataXu Mazda 6 learnmore 300x250,Mazda 6
DataXu Mazda 6 testdrive 300x250,Mazda 6
Mazda UK_Tactical_RadiumOne_Geo Fencing_Retargeting Mazda Qualified OOH User Pool _Mazda MX-5 RF_All Devices_Retargeting_FAST_Set 1_2017_Mazda_MX-5_RF_2017_300x600,MX-5
Crimtan - Audience Targeting Based on Previous Learnings - Crimtan_Contextual Targeting_300x250_Cross Platform_Desktop_Audience-CX-3CX-5,CX-3 & CX-5
