Activity,ActivityName
SageONE_Registro Confirmacion OC_ITRS_ES,SageONE_Registro Confirmacion OC_ITRS_ES
Accountants|FY17|Q4|LP|ACS_17Q4_NCM_CA_DGPS_AY0100_SASContactUsPaidSearchCAEN,Accountants|FY17|Q4|LP|ACS_17Q4_NCM_CA_DGPS_AY0100_SASContactUsPaidSearchCAEN
Enterprise|FY19|H1|LP|BMS_19Q1_NCM_CA_DGCS_ER0240_SageEnterpriseManagementCanadaFB,Enterprise|FY19|H1|LP|BMS_19Q1_NCM_CA_DGCS_ER0240_SageEnterpriseManagementCanadaFB
50CA|FY17|Q2|Conv|ca/sage-50-accounting/customer_INQ,50CA|FY17|Q2|Conv|ca/sage-50-accounting/customer_INQ
Accounting|FY18|Q3|TY|OnClick|Gratuite30|ca/fr/sage-50-comptabilite/essayer_ITRS_,Accounting|FY18|Q3|TY|OnClick|Gratuite30|ca/fr/sage-50-comptabilite/essayer_ITRS_
Payroll_v2,Payroll_v2
Quantum Page_v2,Quantum Page_v2
SAGE|AccountingSolutions|CA|Portal|Aug2016,SAGE|AccountingSolutions|CA|Portal|Aug2016
Sage|Sage50CA|EN|Customer|Oct2016,Sage|Sage50CA|EN|Customer|Oct2016
Try Page_v2,Try Page_v2
X3|FY17|Q1|Landing Page|http://www.sagex3.com/en-us/contact/request_product_tour,X3|FY17|Q1|Landing Page|http://www.sagex3.com/en-us/contact/request_product_tour
ca/accountant/small-business-network_v2,ca/accountant/small-business-network_v2
ca/accountant_v2,ca/accountant_v2
Sage X3 Homepage_v2,Sage X3 Homepage_v2
Sage For Mac IRE_LP,Sage For Mac IRE_LP
Sage Pay Online Payments,Sage Pay Online Payments
Sage Pay Payment Solutions,Sage Pay Payment Solutions
Sage Pay_Face to Face Payments,Sage Pay_Face to Face Payments
SageX3_Demo Confirmation ES_ITRS_OPL,SageX3_Demo Confirmation ES_ITRS_OPL
Sage_BMS_CRM_LP,Sage_BMS_CRM_LP
Sage_Accountants_Practice Intelligence_LP,Sage_Accountants_Practice Intelligence_LP
Sage_Payroll & HR_ESS_Free_Trial_Demo_LP,Sage_Payroll & HR_ESS_Free_Trial_Demo_LP
SAGE_Local_Other_Products_Business_Owners_Landing_Page_ZA,SAGE_Local_Other_Products_Business_Owners_Landing_Page_ZA
SAGE_Local_BMS_Products_Software_Landing_Page_ZA,SAGE_Local_BMS_Products_Software_Landing_Page_ZA
SAGE_Local_VIP_Premier_Payroll&HR_ Landing_Page_ZA,SAGE_Local_VIP_Premier_Payroll&HR_ Landing_Page_ZA
